,,,,,,,,,,,,
CATÉGORIES TAXONOMIQUES,,,,,,,,,,,,
Nom_ecotaxa,AphiaID,Kingdom,Infrakingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Genus,Species
Siphonophorae,1371,Animalia,,Cnidaria,Medusozoa,Hydrozoa,Hydroidolina,Siphonophorae,,,,
Solmundella bitentaculata,117267,Animalia,,Cnidaria,Medusozoa,Hydrozoa,Trachylinae,Narcomedusae,,Solmundaeginidae,Solmundella,Solmundella bitentaculata
Spiky<Acantharia,586732,Chromista,Rhizaria,Radiozoa,,Acantharia,,,,,,
Spiky<Aulacanthidae,367357,Chromista,Rhizaria,Cercozoa ,,Thecofilosea,Phaeodaria,Phaeocystida,,Aulacanthidae,,
Spiky<Coelodendridae,367372,Chromista,Rhizaria,Cercozoa,,Thecofilosea,Phaeodaria,Phaeodendrida,,Coelodendridae,,
Swima,413514,Animalia,,Annelida,,Polychaeta,Sedentaria,Terebellida,Cirratuliformia,Acrocirridae,Swima,
Tentacle<Cnidaria,1267,Animalia,,Cnidaria,,,,,,,,
Thecosomata,13703,Animalia,,Mollusca,,Gastropoda,Heterobranchia,Thecosomata,,,,
Tomopteridae,958,Animalia,,Annelida,,Polychaeta,Errantia,Phyllodocida,,Tomopteridae,,
Trachymedusae,16350,Animalia,,Cnidaria,Medusozoa ,Hydrozoa,,Rachymedusae,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CATÉGORIE NON TAXONOMIQUES,,,,,,,,,,,,
Beanlike,"Organismes très nombreux dans les jeux de données (7786 individus comptés) : probablement des phéodaires (L. Stemmann, communication personnelle), mais n’ont pas encore été formellement identifiés",,,,,,,,,,,
Cloud,"Zones floues, peut contrastées dans l'image (débris en suspension ou artefact de la caméra) ",,,,,,,,,,,
Chain ,Organismes organisés en chaîne (commun pour les salpes par exemple),,,,,,,,,,,
Badfocus,"Mauvaise mise au point de l'image (floue). L'organisme peut tout de même être identifié, dans ce cas on note ""Badfocus<copepoda"" pour un copépode par exemple",,,,,,,,,,,
Colonial ,Ajouté à la catégorie de l'organisme lorsqu'on observe une colonie,,,,,,,,,,,
Part,Une seule partie de l'organisme est observée,,,,,,,,,,,
Tentacle,Une ou plusieurs tentacules est observée,,,,,,,,,,,
Spiky,"Contour irrégulier, ""piquant"" : peut-être la biostructure d'organisme ou un artefact",,,,,,,,,,,
Copepoda eggs,Œufs de copépodes ou copépodes + œufs,,,,,,,,,,,
Crystal,Objets cristallins ou brillants capturés par la caméra,,,,,,,,,,,
Dark<sphere,Particules sombres et sphériques,,,,,,,,,,,
Dead<house,Logettes d'appendiculaires vides,,,,,,,,,,,
Detritus,Particules/neige marine (non vivant) ,,,,,,,,,,,
Egg sac<egg,Sacs d'œufs (pas d'espèces en particulier) ,,,,,,,,,,,
Fiber<detritus,Particules à aspect fibreux,,,,,,,,,,,
Filament<detritus,Particules filamenteuses,,,,,,,,,,,
Like<Copepoda,Forme très similaire aux copépodes mais manque une antenne ou une partie / la totalité de l'urosome donc on ne peut pas les classer dans les copépodes,,,,,,,,,,,
Multiple organisms,Plusieurs organismes sur la même vignette,,,,,,,,,,,
Othertocheck,Catégorie à part lorsqu'on ne sait pas identifier l'organisme (catégorie vérifiée ultérieurement par les experts) ,,,,,,,,,,,
Reflection,Reflets de la lumière sur des particules ou à la surface ou sur la caméra (pas des organismes) ,,,,,,,,,,,
Rhizaria like,Même principe que les copepodes-like,,,,,,,,,,,
Solitaryblack,Classes morphologiques appartenant aux collodaires ,,,,,,,,,,,
Solitaryglobule,Classes morphologiques appartenant aux collodaires ,,,,,,,,,,,
t002,t = temporary : catégories utilisées lorsqu'on a un grand nombre d'organismes morphologiquement similaires mais qu'on ne sait pas les identifier (peut-être ultérieurement vérifié par des experts) ,,,,,,,,,,,
t003,,,,,,,,,,,,
t011,,,,,,,,,,,,
t013,,,,,,,,,,,,
t014,,,,,,,,,,,,
